Valor ,ISIN,UBS Long Name,Issuer Name,Asset Class,Instrument Category,Sub-Asset Class ,Instrument Ccy
16004109,QT0160041098,STRIPE 68 Cl. A - Investing in KKR IV Asian Fund IV SCSp Net Commitment,STRIPE 68 Cl. A - Investing in KKR IV Asian Fund IV SCSp Net Commitment,HF&PM,Pooled vehicles,Private markets,USD
16004111,QT0160041114,STRIPE 68 Cl. A - Investing in KKR IV Asian Fund IV SCSp Unfunded Commitment,STRIPE 68 Cl. A - Investing in KKR IV Asian Fund IV SCSp Unfunded Commitment,HF&PM,Pooled vehicles,Private markets,USD
16004188,QT0160041882,"STRIPE 75 Ltd. - Investing in SV Dislocation Fund, L.P. Net Commitment","STRIPE 75 Ltd. - Investing in SV Dislocation Fund, L.P. Net Commitment",HF&PM,Pooled vehicles,Private markets,USD
16004190,QT0160041908,"STRIPE 75 Ltd. - Investing in SV Dislocation Fund, L.P. Unfunded Commitment","STRIPE 75 Ltd. - Investing in SV Dislocation Fund, L.P. Unfunded Commitment",HF&PM,Pooled vehicles,Private markets,USD
16004189,KYG855511021,"STRIPE 75 Ltd. - Investing in SV Dislocation Fund, L.P. Outstanding Shares","STRIPE 75 Ltd. - Investing in SV Dislocation Fund, L.P. Outstanding Shares",HF&PM,Pooled vehicles,Private markets,USD
16004831,QT0160048317,STRIPE 36 L.P. The Rise Fund Unfunded Commitment,STRIPE 36 L.P. THE RISE FUND,HF&PM,Pooled vehicles,Private markets,USD
785274,MYL5487OO003,Reg.shs CHG Industries Bhd,CHG Industries Bhd,Equities,Direct investments,Common stock,MYR
36244719,US69608A1088,Reg.shs -A- Palantir Technologies Inc. (PLTR),Palantir Technologies Inc,Equities,Direct investments,Common stock,USD
11448018,US88160R1014,Reg.shs Tesla Inc. (TSLA),Tesla Inc,Equities,Direct investments,Common stock,USD
45176927,KYG622681008,Reg.shs Mobvista Inc. Unitary Reg S/144A,Mobvista Inc.,Equities,Direct investments,Common stock,USD
105190659,QT1051906597,Rev. Accumulator UBSG 2024-16.06.2025 (ff 12.06.25) PLTR (USD 32.7385/21.816),"UBS AG, Singapore Branch",Equities,OTC ACCU & DEC,Common stock,USD
105193569,QT1051935695,Rev. Accumulator UBSG 2024-30.06.2025 (ff 26.06.25) PLTR (USD 33.7857/22.023),"UBS AG, Singapore Branch",Equities,OTC ACCU & DEC,Common stock,USD
105221781,QT1052217812,"Accumulator UBS AG, SG Br. (SG) 2024-07.10.2025 (ff 06.10.25) PLTR (USD 29.7713/45.54)","UBS AG, Singapore Branch",Equities,OTC ACCU & DEC,Common stock,USD
645156,US0231351067,Reg.shs Amazon.com Inc. (AMZN),Amazon.com Inc,Equities,Direct investments,Common stock,USD
908440,US0378331005,Reg.shs Apple Inc.     (AAPL),Apple Inc,Equities,Direct investments,Common stock,USD
951692,US5949181045,Reg.shs Microsoft Corp. (MSFT),Microsoft Corp,Equities,Direct investments,Common stock,USD
3537013,LU0329593007,BlackRock Global Funds SICAV - World Healthscience Fund D2-capitalisation,BlackRock Global Funds SICAV - World Healthscience Fund,Equities,Pooled vehicles,Common stock,USD
29798545,US02079K1079,Reg.shs -C- Alphabet Inc. non voting (GOOG),Alphabet Inc,Equities,Direct investments,Common stock,USD
30608357,LU1328240616,Morgan Stanley Investment Funds SICAV - Global Brands Fund F-capitalisation,Morgan Stanley Investment Funds SICAV - Global Brands Fund,Equities,Pooled vehicles,Common stock,USD
3697804,DK0060094928,Reg.shs Orsted     (ORSTED),Orsted,Equities,Direct investments,Common stock,DKK
40010114,LU1747734918,AB FCP I FCP - American Income Portfolio W2-capitalisation,AB FCP I FCP - American Income Portfolio,Bonds,Pooled vehicles,Straight bonds,USD
58460132,US7710491033,Reg. shs -A- Roblox Corp. (RBLX),Roblox Corporation,Equities,Direct investments,Common stock,USD
116110551,XD1161105519,Blackstone Real Estate Income Trust iCapital Offshore Access Fund SPC SP 10 I-C-series-dist,Blackstone Real Estate Income Trust iCapital Offshore Access Fund SPC,Real estate,Pooled vehicles,,USD
124130552,LU2571548820,Brookfield Oaktree Wealth Sol. Alt. Fd SA SICAV UCI Part II - Infr. Income Fund A-acc,Brookfield Oaktree Wealth Solutions Alternative Funds SA SICAV UCI Part II - Brookfield Infrastructure Income Fund,HF&PM,Pooled vehicles,Private markets,USD
126559383,LU2582103870,Apollo Private Markets SICAV - Apollo Aligned Alternatives (E-1)-I2-acc,Apollo Private Markets SICAV - Apollo Aligned Alternatives (E-1),HF&PM,Pooled vehicles,Private markets,USD
2690650,CNE1000002M1,Shs -H- China Merchants Bank Co. Ltd           (3968),China Merchants Bank Co Ltd,Equities,Direct investments,Common stock,CNY
48045452,US3896381072,Grayscale Ethereum Trust (ETH),Grayscale Ethereum Trust ETF,Liquidity,Pooled vehicles,Crypto,USD
14233262,HK0000091790,Reg.shs Yunfeng Financial Group Ltd (376),Yunfeng Financial Group Ltd,Equities,Direct investments,Common stock,HKD
24620337,CNE100001SR9,Shs -H- China Vanke Co. Ltd (2202),China Vanke Co Ltd,Equities,Direct investments,Common stock,CNY
25140337,BMG0171W1055,Reg.shs Alibaba Pictures Group Ltd           (1060),Alibaba Pictures Group Ltd,Equities,Direct investments,Common stock,HKD
42399032,KYG9830T1067,Reg.shs Xiaomi Corp. Unitary 144A/Reg S (1810),Xiaomi Corporation,Equities,Direct investments,Common stock,USD
45984648,US3896371099,Grayscale Bitcoin Trust ETF,Grayscale Bitcoin Trust ETF,Liquidity,Pooled vehicles,Crypto,USD
47194804,XS1974522937,7.25% Notes Country Garden 2019-08.04.26 Guaranteed Reg S In Default,Country Garden Holdings Co Ltd,Bonds,Direct investments,Straight bonds,USD
51197857,US31810T1016,Sponsored American Deposit Receipt FinVolution Group (Repr 5 Shs -A-) (FINV),FinVolution Group,Equities,Direct investments,Common stock,USD
51856894,XS2100726160,5.625% Country Garden Holdings Co. Ltd 2020-14.01.2030,Country Garden Holdings Co Ltd,Bonds,Direct investments,Straight bonds,USD
51857410,XS2100725949,5.125% Country Garden Holdings Co. Ltd 2020-14.01.2027 Secured,Country Garden Holdings Co Ltd,Bonds,Direct investments,Straight bonds,USD
56308728,XS2210960378,4.80% Notes Country Garden Holdings Co. Ltd 2020-06.08.2030 Guaranteed 1st Lien Reg S,Country Garden Holdings Co Ltd,Bonds,Direct investments,Straight bonds,USD
56308726,XS2210960022,4.20% Notes Country Garden Holdings Co. Ltd 2020-06.02.2026 Guaranteed 1st Lien Reg S,Country Garden Holdings Co Ltd,Bonds,Direct investments,Straight bonds,USD
58226555,US98372W2026,Sponsored American Depositary Share X Financial (Repr 6 Shs) -A-,X Financial,Equities,Direct investments,Common stock,USD
36830487,XS1618597535,5.25% Logan Group Company Limited 2017-23.02.2023,Logan Group Company Limited,Bonds,Direct investments,Straight bonds,USD
37267688,XS1627599654,8.75% Notes China Evergrande Group 2017-28.06.2025 Secured Reg S in liquidation,China Evergrande Group,Bonds,Direct investments,Straight bonds,USD
120442938,XS2495355674,6.50% PIK Notes Easy Tactic Ltd 2022-11.07.2025 Guaranteed Secured  VR,Easy Tactic Ltd,Bonds,Direct investments,Straight bonds,USD
680579,CA13321L1085,Reg.shs Cameco Corp.     (CCJ),Cameco Corp,Equities,Direct investments,Common stock,CAD
994529,US67066G1040,Reg.shs NVIDIA Corp. (NVDA),NVIDIA Corp,Equities,Direct investments,Common stock,USD
410257,US91347P1057,Reg.shs Universal Display Corp. (OLED),Universal Display Corp,Equities,Direct investments,Common stock,USD
2231362,US0567521085,Sponsored American Deposit Receipt Baidu Inc. (Repr 8 Shs -A-)  (BIDU),Baidu Inc,Equities,Direct investments,Common stock,USD
3109814,US58733R1023,Reg.shs MercadoLibre Inc. (MELI),MercadoLibre Inc,Equities,Direct investments,Common stock,USD
4752662,US88032Q1094,Unspons. American Deposit Receipt Tencent Holdings Ltd (Repr. 1 shs)     (TCEHY),Tencent Holdings Ltd,Equities,Direct investments,Common stock,HKD
20085930,USN070592100,Sponsored American Deposit Receipt ASML Holding NV (Repr 1 Sh),ASML Holding NV,Equities,Direct investments,Common stock,EUR
33717137,US88339J1051,Reg.shs -A- The Trade Desk Inc. (TTD),The Trade Desk Inc,Equities,Direct investments,Common stock,USD
50164128,US00783V1044,Unspons. American Deposit Receipt Adyen N.V. (repr 1/50 Sh) (ADYEY),Adyen N.V.,Equities,Direct investments,Common stock,EUR
50840049,US89677Q1076,Sponsored American Deposit Share Trip Com Group Ltd (Repr 1 Sh) (TCOM),Trip Com Group Ltd,Equities,Direct investments,Common stock,USD
113742301,NL0015000IY2,Shs / Reg.shs Universal Music Group N.V. (UMG),Universal Music Group N.V.,Equities,Direct investments,Common stock,EUR
18525320,ID1000124001,Reg.shs PT BFI Finance Indonesia Tbk               (BFIN),PT BFI Finance Indonesia Tbk,Equities,Direct investments,Common stock,IDR
22816036,LU0992293067,The Jupiter Global Fund SICAV - Jupiter Dynamic Bond L-USD-M-inc-HSC-distribution,The Jupiter Global Fund SICAV - Jupiter Dynamic Bond,Bonds,Pooled vehicles,Straight bonds,USD
56982999,XS2223798229,4.375% FPC Resources Ltd 2020-11.09.2027 Guaranteed First Pacific Co Ltd,FPC Resources Limited,Bonds,Direct investments,Straight bonds,USD
116532986,KYG6834S1003,Blue Owl Technology Income Corp. iCapital Access Fund SPC A-acc,Blue Owl Technology Income Corp. iCapital Offshore Access Fund SPC,HF&PM,Pooled vehicles,Private markets,USD
118053829,US91127LAH33,3.863% MTN United Overseas Bank Ltd 2022-07.10.2032 Global series 059 Reg S Fixed/Floating Rate,United Overseas Bank Ltd,Bonds,Direct investments,Straight bonds,USD
132902107,XD1329021079,Apollo Debt Solutions BDC iCapital Offshore Access Fund SPC SP 1 A-B-series C-acc,Apollo Debt Solutions BDC iCapital Offshore Access Fund SPC,HF&PM,Pooled vehicles,Private markets,USD
132659849,XS2762788193,5.02% Fixed Rt/Floating Rt Nt Nomur 2024-30.05.2026 NOMURA Note,Nomura International Funding Pte Ltd,Bonds,Struct.prod.&wts,Straight bonds,USD
138362748,XD1383627480,Blackstone Private Eq Strategies Fund SICAV-BXPE Feeder SICAV-I AA-series JULY 2024-cap,Blackstone Private Equity Strategies Fund SICAV - BXPE Feeder SICAV - I,HF&PM,Pooled vehicles,Private markets,USD
288055,CH0002880554,Metal account gold OZS Min.finess 995 Loco Zurich Pro Memoria,Metallkonto,PMC,Account,Precious metals,XAU
2577176,LU0256845834,Pictet SICAV - Pictet-Security I-USD-capitalisation,Pictet SICAV - Pictet-Security,Equities,Pooled vehicles,Common stock,USD
39219056,QT0392190564,Multi-Manager (Ireland) ICAV - Select Opportunities F-USD-series 2-acc,Multi-Manager (Ireland) ICAV - Select Opportunities (ICAV - Ireland),HF&PM,Pooled vehicles,Hedge funds,USD
12915350,US1729674242,Reg.shs Citigroup Inc.     (C),Citigroup Inc,Equities,Direct investments,Common stock,USD
27983540,LU1226287875,UBS (Lux) Key Selection SICAV - China Allocation Opportunity (USD) P-Mdist,UBS (Lux) Key Selection SICAV - China Allocation Opportunity (USD),Others,Pooled vehicles,Asset all funds,USD
29228421,LU1273507282,Fidelity Funds SICAV - Asian High Yield Fund Y-USD-Mdist,Fidelity Funds SICAV - Asian High Yield Fund,Bonds,Pooled vehicles,Straight bonds,USD
35753642,XD0357536420,BlackRock Alternatives Funds ICAV The Select Fund A-USD-restr. non voting-master series-acc,BlackRock Alternatives Funds ICAV - The Select Fund,HF&PM,Pooled vehicles,Hedge funds,USD
36472841,XD0364728416,A&Q Alpha Select Hedge Fund Ltd UA-USD-restricted-series 1,A&Q Alpha Select Hedge Fund Limited,HF&PM,Pooled vehicles,Hedge funds,USD
30164303,LU1310446312,Capital International Fund SICAV Capital Group New Perspective Fund (LUX) ZL,Capital International Fund SICAV - Capital Group New Perspective Fund (LUX),Equities,Pooled vehicles,Common stock,USD
44887387,LU1911739453,Partners Group Global Value SICAV E-N-USD-capitalisation,Partners Group Global Value SICAV,HF&PM,Pooled vehicles,Private markets,USD
49280512,LU2038039314,UBS (Lux) Bond SICAV - Global Dynamic (USD) Q-4%-mdist,UBS (Lux) Bond SICAV - Global Dynamic (USD),Bonds,Pooled vehicles,Others,USD
49375098,LU2038518986,JPMorgan Funds SICAV - Global Bond Opportunities Fund C2 (mth)-USD-dist,JPMorgan Funds SICAV - Global Bond Opportunities Fund,Bonds,Pooled vehicles,Straight bonds,USD
51675825,HK0000559036,UBS (HK) Fund Series - Credit Income Opp. (USD) Q-USD,UBS (HK) Fund Series - Credit Income Opportunity(USD),Bonds,Pooled vehicles,Others,USD
56314427,IE00BLCB6M14,PIMCO Fds: Global Inv. Series Plc - Global Bond Fund W-USD,PIMCO Funds Global Investors Series PLC - Global Bond Fund,Bonds,Pooled vehicles,Straight bonds,USD
56695520,LU2210036088,Janus Henderson Horizon Fund SICAV - Gbl Technology Leaders Fund SB2-USD-capitalisation,Janus Henderson Horizon Fund SICAV - Global Technology Leaders Fund,Equities,Pooled vehicles,Common stock,USD
59986178,XD0599861784,Blackstone Real Estate Income Trust iCapital Offshore Access Fd SPC I-SP 4-S. C-distribution,Blackstone Real Estate Income Trust iCapital Offshore Access Fund SPC,Real estate,Pooled vehicles,,USD
122201361,XS2280760070,Perles UBSL 2023-08.02.2030 (ff 01.02.30) CIO Chi Reopen USD,"UBS AG, London Branch",Equities,Struct.prod.&wts,Common stock,USD
126961245,XD1269612457,KKR Private Markets Equity Fund SICAV SA - K-PRIME Feeder-I R-series MAY 2023-cap,KKR Private Markets Equity Fund SICAV SA - K-PRIME Feeder-I,HF&PM,Pooled vehicles,Private markets,USD
136566000,XD1365660004,Apollo Debt Solutions BDC iCapital Offshore Access Fund SPC SP 1 I-B-dis-series 06/2024,Apollo Debt Solutions BDC iCapital Offshore Access Fund SPC,HF&PM,Pooled vehicles,Private markets,USD
136576459,XD1365764590,KKR Infrastructure Fund SICAV SA SICAV - KIF Feeder-I RD-series June 2024-dis,KKR Infrastructure Fund SICAV SA- KIF Feeder-I,HF&PM,Pooled vehicles,Private markets,USD
138285751,XS2874177723,10.45% Citi Glob. Mrkt (LU) 2024-22.04.2025 Novo Nordisk/Eli Lilly,Citigroup Global Markets Funding Luxembourg S.C.A.,Equities,Struct.prod.&wts,Common stock,USD
748628,US0605051046,Reg.shs Bank of America Corp (BAC),Bank of America Corp,Equities,Direct investments,Common stock,USD
958611,US6745991058,Reg.shs Occidental Petroleum Corp. (OXY),Occidental Petroleum Corp,Equities,Direct investments,Common stock,USD
1095642,US92343V1044,Reg.shs Verizon Communications Inc.          (VZ),Verizon Communications Inc,Equities,Direct investments,Common stock,USD
4258191,US78463V1070,SPDR Gold Trust ETF (GLD),SPDR Gold Trust,PMC,Pooled vehicles,Precious metals,USD
1147613,CNE100000585,Shs -H- Tong Ren Tang Technologies Co. Ltd (1666),Tong Ren Tang Technologies Co Ltd,Equities,Direct investments,Common stock,CNY
10469166,HK0000055878,Reg.shs China Taiping Insurance Holdings Co. Ltd (966),China Taiping Insurance Holdings Co Ltd,Equities,Direct investments,Common stock,HKD
24544787,CNE100001SG2,Shs -H- Qingdao Port International Co. Ltd           (6198),Qingdao Port International Co Ltd,Equities,Direct investments,Common stock,CNY
37327935,SG1DH9000006,Registered units NetLink NBN Trust Reg-S               (CJLU),NetLink NBN Trust,Equities,Direct investments,Common stock,SGD
46209336,LU1883311810,Amundi Funds SICAV - Europe Equity Income Select A2-QTI-USD-hedged-distribution,Amundi Funds SICAV - Europe Equity Income Select,Equities,Pooled vehicles,Common stock,USD
55889123,US6745991629,Warrant Occidental Petroleum Corp. 2020-03.08.2027 Occidental Pete (USD 22),Occidental Petroleum Corp,Equities,Struct.prod.&wts,Common stock,USD
105213316,QT1052133167,Rev. Accumulator UBSG 2024-18.08.2025 (ff 14.08.25) BAC (USD 44.3898/36.1276),"UBS AG, Singapore Branch",Equities,OTC ACCU & DEC,Common stock,USD
105213313,QT1052133134,"Accumulator UBS AG, SG Br. (SG) 2024-18.08.2025 (ff 14.08.25) OXY (USD 51.5457/62.3607)","UBS AG, Singapore Branch",Equities,OTC ACCU & DEC,Common stock,USD
539377,LU0070992663,Janus Henderson Horizon Fd SICAV - Global Technology Leaders Fund A2-capitalisation,Janus Henderson Horizon Fund SICAV - Global Technology Leaders Fund,Equities,Pooled vehicles,Common stock,USD
1143143,LU0119620416,Morgan Stanley Investment Funds SICAV - Global Brands Fund A-capitalisation,Morgan Stanley Investment Funds SICAV - Global Brands Fund,Equities,Pooled vehicles,Common stock,USD
1265505,KYG9165D1300,A&Q Neutral Alpha Strategies Ltd J-USD-series 1,A&Q Neutral Alpha Strategies Limited,HF&PM,Pooled vehicles,Hedge funds,USD
2836189,LU0278718100,BlackRock Global Funds SICAV - Systematic Global Equity High Income Fund A2-EUR-hedged-cap,BlackRock Global Funds SICAV - Systematic Global Equity High Income Fund,Equities,Pooled vehicles,Common stock,EUR
3948007,LU0349525401,UBS (Lux) Real Estate Funds Selection SICAV - Global P-acc,UBS (Lux) Real Estate Funds Selection SICAV - Global,Real estate,Pooled vehicles,,EUR
16000934,QT0160009343,ALPES 2005 Ltd. - Alternative Private Equity Solution 2005 Net Commitment,ALPES 2005 Ltd.,HF&PM,Pooled vehicles,Private markets,USD
16000932,QT0160009327,ALPES 2004 Ltd. - Alternative Private Equity Solution 2004 Net Commitment,ALPES 2004 Ltd.,HF&PM,Pooled vehicles,Private markets,USD
16001726,QT0160017262,ALPES 2005 Ltd. - Alternative Private Equity Solution 2005 Redeemed Shares,ALPES 2005 Ltd.,HF&PM,Pooled vehicles,Private markets,USD
16002605,QT0160026057,ALPES 2004 Ltd. - Alternative Private Equity Solution 2004 Redeemed Shares,ALPES 2004 Ltd.,HF&PM,Pooled vehicles,Private markets,USD
19782762,LU0841155764,BlackRock Global Funds SICAV - Asian Tiger Bond Fund A3-AUD-hedged-distribution,BlackRock Global Funds SICAV - Asian Tiger Bond Fund,Bonds,Pooled vehicles,Straight bonds,AUD
20333847,LU0867954264,JPMorgan Funds SICAV - Global Bond Opportunities Fund A-USD-acc,JPMorgan Funds SICAV - Global Bond Opportunities Fund,Bonds,Pooled vehicles,Others,USD
41960402,LU1822774284,BlackRock Global Funds SICAV - World Healthscience Fund A2-EUR-hedged-capitalisation,BlackRock Global Funds SICAV - World Healthscience Fund,Equities,Pooled vehicles,Common stock,EUR
42535554,LU1852198446,UBS Sustainable Investing Fund Balanced - EUR-hedged P-acc,Multi Manager Access II SICAV - Sustainable Investing Balanced,Others,Pooled vehicles,Asset all funds,EUR
42662504,LU1856116048,UBS Sustainable Investing Fund Growth - USD P-acc,Multi Manager Access II SICAV - Sustainable Investing Growth,Others,Pooled vehicles,Asset all funds,USD
115092609,LU2367650590,Lumyna-Marshall Wace UCITS SICAV - Lumyna-MW TOPS UCITS Fund D-capitalisation,Lumyna-Marshall Wace UCITS SICAV - Lumyna-MW TOPS UCITS Fund,HF&PM,Pooled vehicles,Hedge funds,GBP
129451372,XD1294513720,KKR Private Markets Equity Fund SICAV SA - K-PRIME Feeder-I N-series August 2023-cap,KKR Private Markets Equity Fund SICAV SA - K-PRIME Feeder-I,HF&PM,Pooled vehicles,Private markets,USD
18984176,LU0784639451,JPMorgan Funds SICAV - Asia Pacific Income Fund C-USD-Mdist,JPMorgan Funds SICAV - Asia Pacific Income Fund,Others,Pooled vehicles,Asset all funds,USD
21378534,LU0929966207,T.Rowe Price Funds SICAV - US Smaller Companies Equity Fund Q-capitalisation,T.Rowe Price Funds SICAV - US Smaller Companies Equity Fund,Equities,Pooled vehicles,Common stock,USD
26204133,IE00BSTL7535,PIMCO Funds: Global Investors Ser. Funds Plc  - Income Fund SGD-hedged-institutional,PIMCO Funds Global Investors Series PLC - Income Fund,Bonds,Pooled vehicles,Others,SGD
30474506,SG9999014641,Fullerton Fund - Fullerton SGD Income Fund R,Fullerton Fund - Fullerton SGD Income Fund,Bonds,Pooled vehicles,Straight bonds,SGD
30734387,IE00BYYJYC06,Algebris UCITS Funds Plc - Algebris Financial Credit Fund Id-SGD-hedged,Algebris UCITS Funds PLC - Algebris Financial Credit Fund,Bonds,Pooled vehicles,Contingent Convertible Bond,SGD
116532989,KYG6834S1342,Blue Owl Technology Income Corp. iCapital Offshore Access Fund SPC SP1 I-dist,Blue Owl Technology Income Corp. iCapital Offshore Access Fund SPC,HF&PM,Pooled vehicles,Private markets,USD
124130549,LU2571549042,Brookfield Oaktree Wealth Sol. Alt. Fd SA SICAV UCI Part II -Infr. Income Fd C-Institutional-dist,Brookfield Oaktree Wealth Solutions Alternative Funds SA SICAV UCI Part II - Brookfield Infrastructure Income Fund,HF&PM,Pooled vehicles,Private markets,USD
129305045,LU2672295115,Apollo Private Markets SICAV - Aligned Alternatives (E-1) I7-capitalisation,Apollo Private Markets SICAV - Apollo Aligned Alternatives (E-1),HF&PM,Pooled vehicles,Private markets,SGD
136339058,KYG0R73M4208,Apollo Debt Solutions BDC iCapital Offshore Access Fund SPC SP 3 I-B-acc,Apollo Debt Solutions BDC iCapital Offshore Access Fund SPC,HF&PM,Pooled vehicles,Private markets,SGD
125034615,XD1250346156,Blackstone Pri. Credit Fd iCapital Offshore Access Fund SPC SP4 A-B-series C-dist,Blackstone Private Credit Fund iCapital Offshore Access Fund SPC,HF&PM,Pooled vehicles,Private markets,USD
512613,LU0067412154,UBS (Lux) Equity Fund FCP - China Opportunity   (USD) P-acc,UBS (Lux) Equity Fund FCP - China Opportunity (USD),Equities,Pooled vehicles,Common stock,USD
1211929,LU0122379950,BlackRock Global Funds SICAV - World Healthscience Fund A2-capitalisation,BlackRock Global Funds SICAV - World Healthscience Fund,Equities,Pooled vehicles,Common stock,USD
1034579,LU0106259558,Schroder International Selection Fund SICAV - Asian Opport- unities A-capitalisation,Schroder International Selection Fund SICAV - Asian Opportunities,Equities,Pooled vehicles,Common stock,USD
2577179,LU0256846139,Pictet SICAV - Pictet-Security P-USD-capitalisation,Pictet SICAV - Pictet-Security,Equities,Pooled vehicles,Common stock,USD
3042331,LU0286668966,Fidelity Funds SICAV - Asian High Yield Fund A-EUR-acc,Fidelity Funds SICAV - Asian High Yield Fund,Bonds,Pooled vehicles,Straight bonds,EUR
3042329,LU0286668453,Fidelity Funds SICAV - Asian High Yield Fund A-USD-acc,Fidelity Funds SICAV - Asian High Yield Fund,Bonds,Pooled vehicles,Straight bonds,USD
20152466,IE00B7KFL990,PIMCO Funds Global Investors Series Plc - Income Fund E-USD-acc,PIMCO Funds Global Investors Series PLC - Income Fund,Bonds,Pooled vehicles,Straight bonds,USD
22386409,LU0974636200,UBS (Lux) Key Selection SICAV - Asian Global Strategy Balanced (USD) P-acc,UBS (Lux) Key Selection SICAV - Asian Global Strategy Balanced (USD),Others,Pooled vehicles,Asset all funds,USD
24476758,CH0244767585,Reg.shs UBS Group Inc (UBSG),UBS Group AG,Equities,Direct investments,Common stock,USD
41207668,LU1807302812,UBS (Lux) Equity SICAV - All China (USD) P-acc,UBS (Lux) Equity SICAV - All China (USD),Equities,Pooled vehicles,Common stock,USD
42535552,LU1852198289,UBS Sustainable Investing Fund Balanced - USD P-acc,Multi Manager Access II SICAV - Sustainable Investing Balanced,Others,Pooled vehicles,Asset all funds,USD
45078036,LU1917362490,UBS (Lux) Strategy SICAV - Dynamic Income (USD) P-acc,UBS (Lux) Strategy SICAV - Dynamic Income (USD),Others,Pooled vehicles,Asset all funds,USD
55777949,LU2145461914,Robeco Capital Growth Funds SICAV - Robeco Smart Energy D-USD-capitalisation,Robeco Capital Growth Funds SICAV - Robeco Smart Energy,Equities,Pooled vehicles,Common stock,USD
110017591,XD1100175912,Blackstone Real Estate Income Trust iCapital Offshore Access Fund SPC A-SP3-acc-series C,Blackstone Real Estate Income Trust iCapital Offshore Access Fund SPC,Real estate,Pooled vehicles,,USD
115606002,GB00BP6MXD84,Reg shs Shell Plc (SHEL),Shell PLC,Equities,Direct investments,Common stock,EUR
116144019,XD1161440197,Blackstone Real Estate Income Trust iCapital Offshore Access Fund SPC A-SP 10-series C-acc,Blackstone Real Estate Income Trust iCapital Offshore Access Fund SPC,Real estate,Pooled vehicles,,USD
115093841,LU2367650327,Lumyna-Marshall Wace UCITS SICAV - MW TOPS UCITS Fund D-capitalisation,Lumyna-Marshall Wace UCITS SICAV - Lumyna-MW TOPS UCITS Fund,HF&PM,Pooled vehicles,Hedge funds,USD
125027780,XD1250277807,Blackstone Private Credit Fund iCapital  Offshore Access Fund SPC A-B-SP4-series C,Blackstone Private Credit Fund iCapital Offshore Access Fund SPC,HF&PM,Pooled vehicles,Private markets,USD
1099448,HK0941009539,Reg.shs China Mobile Ltd (941),China Mobile Limited,Equities,Direct investments,Common stock,HKD
239659,LU0049785792,UBS (Lux) Strategy Fund FCP - Balanced (USD) P-acc,UBS (Lux) Strategy Fund FCP - Balanced Sustainable (USD),Others,Pooled vehicles,Asset all funds,USD
2291324,CNE1000002H1,Shs -H- China Construction Bank Corp.           (939),China Construction Bank Corporation,Equities,Direct investments,Common stock,CNY
39218002,XD0392180028,Multi-Manager (Ireland) ICAV - Select Opp.  (ICAV - Ireland) Tranche A-USD-series 2-acc,Multi-Manager (Ireland) ICAV - Select Opportunities (ICAV - Ireland),HF&PM,Pooled vehicles,Hedge funds,USD
3050335,LU0286669428,Fidelity Funds SICAV - Asian High Yield Fund A-USD-Mdist,Fidelity Funds SICAV - Asian High Yield Fund,Bonds,Pooled vehicles,Straight bonds,USD
19217548,LU0809804775,JPMorgan Funds SICAV - Emerging Markets Debt Fund C-USD-Mdist,JPMorgan Funds SICAV - Emerging Markets Debt Fund,Bonds,Pooled vehicles,Straight bonds,USD
22479642,LU0969575561,Variopartner SICAV - MIV Global Medtech Fund P3-capitalisation,Variopartner SICAV - MIV Global Medtech Fund,Equities,Pooled vehicles,Common stock,USD
21513473,LU0941351255,UBS (Lux) Strategy Fund FCP - Balanced (USD) Q-acc,UBS (Lux) Strategy Fund FCP - Balanced Sustainable (USD),Others,Pooled vehicles,Asset all funds,USD
4733788,LU0403296170,UBS (Lux) Equity Fund - China Opportunity   (USD) Q-acc,UBS (Lux) Equity Fund FCP - China Opportunity (USD),Equities,Pooled vehicles,Common stock,USD
19584199,LU0830624010,Goldman Sachs Funds SICAV - Goldman Sachs India Equity Portfolio R-acc,Goldman Sachs Funds SICAV - Goldman Sachs India Equity Portfolio,Equities,Pooled vehicles,Common stock,USD
26647043,KYG217651051,Reg.shs CK Hutchison Holdings Ltd (1),CK Hutchison Holdings Ltd,Equities,Direct investments,Common stock,HKD
25027456,KYG2957T1168,A&Q Neutral Alpha Strategies XL Ltd J-USD-unrestricted series 1,A&Q Neutral Alpha Strategies XL Limited,HF&PM,Pooled vehicles,Hedge funds,USD
28342204,LU1240791100,UBS (Lux) Key Selection SICAV - Asian Global Strategy Balanced (USD) Q-acc,UBS (Lux) Key Selection SICAV - Asian Global Strategy Balanced (USD),Others,Pooled vehicles,Asset all funds,USD
28738532,LU1255011501,JPMorgan Funds SICAV - China A-Share Opportunities Fund C-USD-acc,JPMorgan Funds SICAV - China A-Share Opportunities Fund,Equities,Pooled vehicles,Common stock,USD
30381537,XD0303815373,A&Q Neutral Alpha Strategies XL Ltd Q-USD-restricted-series 1,A&Q Neutral Alpha Strategies XL Limited,HF&PM,Pooled vehicles,Hedge funds,USD
40010118,LU1747734678,AB FCP I FCP - American Income Portfolio WT-distribution,AB FCP I FCP - American Income Portfolio,Bonds,Pooled vehicles,Straight bonds,USD
41887067,US46090E1038,Invesco QQQ Trust Series I,Invesco QQQ Trust Series I,Equities,Pooled vehicles,Common stock,USD
38714645,LU1700711408,Robeco Capital Growth Funds SICAV - Robeco FinTech F-cap,Robeco Capital Growth Funds SICAV - Robeco FinTech,Equities,Pooled vehicles,Common stock,USD
